,lead,phase2,phase3,closed
8792,2016-05-25,,,
8793,2016-05-26,,,
8794,2016-05-27,,,
8795,2016-05-28,,,
8796,2016-05-29,,,
8797,2016-05-30,,,
8798,2016-05-31,2016-06-01,,
8799,2016-06-01,2016-06-06,,
8800,2016-06-02,,,
8801,2016-06-03,,,
8802,2016-06-05,,,
8803,2016-06-06,,,
8804,2016-06-07,,,
8805,2016-06-08,,,
8806,2016-06-10,,,
8807,2016-06-11,,,
8808,2016-06-12,,,
8809,2016-06-13,2016-06-14,2016-06-15,2016-06-15
8810,2016-06-15,,,
8811,2016-01-04,2016-02-24,2016-04-04,2016-04-13
8812,2016-01-05,2016-01-06,2016-02-19,2016-02-19
8813,2016-01-07,,,
8814,2016-01-09,2016-03-03,2016-03-20,2016-03-20
8815,2016-01-10,2016-02-10,2016-02-23,2016-03-10
8816,2016-01-11,2016-03-06,2016-03-29,2016-04-21
8817,2016-01-12,,,
8818,2016-01-13,2016-03-04,2016-03-16,2016-03-16
8819,2016-01-15,2016-03-18,2016-03-18,2016-03-18
8820,2016-01-16,,,
8821,2016-01-17,2016-02-05,2016-02-21,2016-02-21
8822,2016-01-18,2016-02-15,2016-03-12,2016-03-12
8823,2016-01-19,2016-02-22,2016-02-22,2016-02-22
8824,2016-01-20,2016-02-25,2016-02-25,2016-02-25
8825,2016-01-21,2016-02-28,2016-03-21,2016-04-07
8826,2016-01-22,,,
8827,2016-01-23,2016-02-28,2016-03-26,2016-04-05
8828,2016-01-24,2016-03-04,2016-03-28,2016-03-28
8829,2016-01-25,2016-02-18,2016-03-14,2016-03-28
8830,2016-01-26,2016-03-04,2016-03-26,2016-03-26
8831,2016-01-27,,,
8832,2016-01-28,,,
8833,2016-01-29,,,
8834,2016-01-30,,,
8835,2016-01-31,,,
8836,2016-02-01,2016-03-22,2016-04-25,2016-04-25
8837,2016-02-03,2016-03-06,2016-04-11,2016-04-24
8838,2016-02-04,2016-02-20,2016-04-14,2016-04-24
8839,2016-02-05,2016-03-16,2016-03-16,2016-03-16
8840,2016-02-07,2016-04-02,2016-05-07,2016-05-29
8841,2016-02-08,2016-03-04,2016-03-26,2016-03-26
8842,2016-02-09,,,
8843,2016-02-10,,,
8844,2016-02-11,,,
8845,2016-02-12,,,
8846,2016-02-13,2016-03-01,2016-03-28,2016-03-28
8847,2016-02-15,2016-03-28,2016-04-27,2016-05-10
8848,2016-02-16,2016-03-20,2016-04-14,2016-04-14
8849,2016-02-17,2016-03-25,2016-03-25,2016-03-25
8850,2016-02-18,2016-03-28,2016-03-28,2016-03-28
8851,2016-02-19,,,
8852,2016-02-21,,,
8853,2016-02-22,,,
8854,2016-02-24,2016-04-21,2016-05-16,2016-05-31
8855,2016-02-25,,,
8856,2016-02-26,,,
8857,2016-02-27,2016-03-31,2016-03-31,2016-03-31
8858,2016-02-28,2016-04-03,2016-05-12,2016-05-12
8859,2016-02-29,,,
8860,2016-03-01,,,
8861,2016-03-02,,,
8862,2016-03-04,2016-04-10,2016-04-10,2016-04-10
8863,2016-03-05,2016-03-30,2016-05-04,2016-05-14
8864,2016-03-06,2016-04-19,2016-05-18,2016-05-18
8865,2016-03-08,,,
8866,2016-03-10,2016-03-21,2016-04-02,2016-04-02
8867,2016-03-12,2016-04-22,2016-05-20,2016-05-20
8868,2016-03-13,,,
8869,2016-03-14,,,
8870,2016-03-15,,,
8871,2016-03-16,2016-04-27,2016-05-20,2016-06-08
8872,2016-03-17,,,
8873,2016-03-18,,,
8874,2016-03-20,2016-05-10,2016-06-01,2016-06-11
8875,2016-03-22,2016-04-09,2016-05-09,2016-05-09
8876,2016-03-23,2016-03-24,2016-04-06,2016-04-06
8877,2016-03-24,2016-04-11,2016-05-24,2016-05-24
8878,2016-03-25,,,
8879,2016-03-26,2016-05-01,2016-05-30,
8880,2016-03-28,2016-04-25,2016-05-11,2016-05-11
8881,2016-03-29,2016-05-09,2016-06-13,
8882,2016-04-01,,,
8883,2016-04-02,,,
8884,2016-04-03,2016-06-07,,
8885,2016-04-04,2016-04-24,2016-05-26,2016-06-10
8886,2016-04-07,2016-04-27,2016-05-28,
8887,2016-04-09,,,
8888,2016-04-10,2016-05-21,2016-06-03,
8889,2016-04-11,2016-05-18,2016-06-10,2016-06-15
8890,2016-04-15,2016-05-11,2016-05-24,2016-05-24
8891,2016-04-16,2016-05-07,2016-06-04,2016-06-04
8892,2016-04-17,,,
8893,2016-04-18,2016-04-26,2016-05-17,2016-05-21
8894,2016-04-19,2016-05-15,2016-06-12,2016-06-12
8895,2016-04-20,2016-05-04,2016-05-15,2016-05-15
8896,2016-04-21,2016-06-10,,
8897,2016-04-22,2016-05-09,2016-06-08,2016-06-08
8898,2016-04-24,,,
8899,2016-04-25,,,
8900,2016-04-26,2016-05-25,2016-05-25,2016-05-25
8901,2016-04-27,2016-06-02,,
8902,2016-04-28,2016-06-08,,
8903,2016-04-29,2016-05-08,2016-05-24,2016-05-26
8904,2016-05-01,2016-06-15,,
8905,2016-05-02,,,
8906,2016-05-03,2016-05-12,,
8907,2016-05-04,2016-05-12,,
8908,2016-05-05,,,
8909,2016-05-07,,,
8910,2016-05-09,2016-05-17,2016-05-28,2016-06-08
8911,2016-05-10,,,
8912,2016-05-11,2016-06-13,,
8913,2016-05-13,,,
8914,2016-05-14,2016-06-13,,
8915,2016-05-15,,,
8916,2016-05-16,,,
8917,2016-05-18,,,
8918,2016-05-19,,,
8919,2016-05-21,2016-06-14,,
8920,2016-05-23,2016-05-24,,
8921,2016-05-26,,,
8922,2016-05-27,,,
8923,2016-05-28,,,
8924,2016-05-29,2016-05-30,,
8925,2016-05-30,,,
8926,2016-06-01,,,
8927,2016-06-03,2016-06-07,,
8928,2016-06-05,,,
8929,2016-06-06,,,
8930,2016-06-07,,,
8931,2016-06-08,,,
8932,2016-06-09,,,
8933,2016-06-11,,,
8934,2016-06-12,,,
8935,2016-06-13,,,
8936,2016-06-15,,,
8937,2016-01-03,2016-01-26,2016-03-01,2016-03-13
8938,2016-01-04,2016-01-21,2016-02-10,2016-02-10
8939,2016-01-05,2016-02-28,2016-03-25,2016-03-31
8940,2016-01-06,2016-01-07,2016-01-16,2016-01-31
8941,2016-01-07,2016-02-04,2016-02-12,2016-02-12
8942,2016-01-08,,,
8943,2016-01-09,2016-02-08,2016-02-08,2016-02-08
8944,2016-01-10,,,
8945,2016-01-11,2016-02-01,2016-02-01,2016-02-01
8946,2016-01-12,,,
8947,2016-01-13,2016-01-17,2016-02-01,2016-02-26
8948,2016-01-14,2016-01-17,2016-02-22,2016-02-22
8949,2016-01-15,2016-02-27,2016-03-16,2016-03-16
8950,2016-01-16,2016-02-08,2016-02-14,2016-03-09
8951,2016-01-17,,,
8952,2016-01-19,,,
8953,2016-01-20,,,
8954,2016-01-21,2016-02-02,2016-03-01,2016-03-22
8955,2016-01-22,2016-03-12,2016-03-28,2016-04-17
8956,2016-01-23,2016-02-28,2016-04-13,2016-05-02
8957,2016-01-24,,,
8958,2016-01-26,2016-02-09,2016-03-02,2016-03-02
8959,2016-01-27,2016-01-28,2016-02-08,2016-02-08
8960,2016-01-28,,,
8961,2016-01-29,2016-03-05,2016-03-05,2016-03-05
8962,2016-01-30,,,
8963,2016-01-31,2016-04-04,2016-05-21,2016-05-21
8964,2016-02-03,,,
8965,2016-02-04,2016-03-20,2016-04-15,2016-04-28
8966,2016-02-05,2016-03-09,2016-03-09,2016-03-09
8967,2016-02-07,,,
8968,2016-02-08,,,
8969,2016-02-09,2016-03-28,2016-04-12,2016-04-12
8970,2016-02-10,2016-03-02,2016-03-29,2016-03-29
8971,2016-02-11,2016-03-30,2016-04-15,2016-05-02
8972,2016-02-12,2016-04-05,2016-05-02,2016-05-02
8973,2016-02-14,2016-04-07,2016-04-07,2016-04-07
8974,2016-02-15,2016-03-22,2016-04-29,2016-05-14
8975,2016-02-16,2016-03-24,2016-05-01,2016-05-01
8976,2016-02-17,,,
8977,2016-02-18,,,
8978,2016-02-20,2016-03-12,2016-04-19,2016-04-19
8979,2016-02-21,,,
8980,2016-02-23,2016-03-01,2016-03-22,2016-03-22
8981,2016-02-24,2016-03-29,2016-04-11,2016-04-21
8982,2016-02-25,2016-03-11,2016-04-13,2016-05-03
8983,2016-02-26,2016-03-31,2016-04-25,2016-04-25
8984,2016-02-27,2016-03-23,2016-04-20,2016-04-20
8985,2016-02-28,2016-03-31,2016-04-20,2016-04-20
8986,2016-02-29,2016-03-30,2016-04-19,2016-04-19
8987,2016-03-01,2016-04-19,2016-05-11,2016-05-11
8988,2016-03-02,,,
8989,2016-03-03,,,
8990,2016-03-04,2016-04-08,2016-05-11,2016-05-11
8991,2016-03-05,2016-03-31,2016-04-19,2016-04-19
8992,2016-03-06,,,
8993,2016-03-07,2016-03-31,2016-03-31,2016-03-31
8994,2016-03-08,,,
8995,2016-03-10,2016-05-05,2016-06-03,2016-06-03
8996,2016-03-11,,,
8997,2016-03-12,,,
8998,2016-03-14,2016-03-30,2016-05-06,2016-05-27
8999,2016-03-15,,,
9000,2016-03-16,,,
9001,2016-03-18,,,
9002,2016-03-20,2016-04-10,2016-05-09,2016-06-01
9003,2016-03-21,2016-04-24,2016-05-28,2016-06-08
9004,2016-03-22,,,
9005,2016-03-23,,,
9006,2016-03-25,,,
9007,2016-03-26,2016-04-15,2016-05-09,2016-05-09
9008,2016-03-27,,,
9009,2016-03-28,2016-04-16,2016-05-24,2016-05-24
9010,2016-03-29,2016-05-02,2016-06-06,
9011,2016-03-30,,,
9012,2016-03-31,2016-04-16,2016-05-17,2016-06-06
9013,2016-04-01,,,
9014,2016-04-02,,,
9015,2016-04-03,2016-04-30,2016-06-02,2016-06-02
9016,2016-04-04,,,
9017,2016-04-05,2016-05-02,2016-05-06,2016-05-22
9018,2016-04-06,2016-05-20,2016-06-08,2016-06-08
9019,2016-04-07,,,
9020,2016-04-08,2016-05-09,2016-06-02,
9021,2016-04-09,,,
9022,2016-04-10,,,
9023,2016-04-11,,,
9024,2016-04-12,2016-04-13,2016-05-07,2016-05-07
9025,2016-04-13,2016-05-21,2016-06-11,
9026,2016-04-14,2016-05-09,2016-06-09,
9027,2016-04-15,2016-05-09,2016-05-18,2016-05-18
9028,2016-04-16,,,
9029,2016-04-17,2016-05-29,,
9030,2016-04-18,2016-06-11,,
9031,2016-04-19,2016-06-06,,
9032,2016-04-20,2016-05-29,2016-05-29,2016-05-29
9033,2016-04-21,2016-04-22,2016-05-11,2016-05-20
9034,2016-04-22,2016-05-05,2016-06-13,
9035,2016-04-23,2016-05-25,2016-06-12,2016-06-12
9036,2016-04-24,,,
9037,2016-04-26,2016-05-14,2016-06-04,2016-06-15
9038,2016-04-27,,,
9039,2016-04-29,2016-06-08,,
9040,2016-04-30,,,
9041,2016-05-01,,,
9042,2016-05-02,2016-06-14,,
9043,2016-05-03,2016-05-11,2016-06-05,2016-06-05
9044,2016-05-04,,,
9045,2016-05-05,2016-05-29,,
9046,2016-05-07,2016-05-31,2016-05-31,2016-05-31
9047,2016-05-08,2016-06-13,,
9048,2016-05-09,2016-06-07,2016-06-07,2016-06-07
9049,2016-05-10,,,
9050,2016-05-11,2016-06-11,,
9051,2016-05-12,,,
9052,2016-05-13,,,
9053,2016-05-14,,,
9054,2016-05-15,,,
9055,2016-05-16,2016-06-10,,
9056,2016-05-18,2016-06-01,,
9057,2016-05-19,2016-06-12,2016-06-12,2016-06-12
9058,2016-05-20,2016-06-06,,
9059,2016-05-23,,,
9060,2016-05-24,2016-05-30,,
9061,2016-05-25,,,
9062,2016-05-26,,,
9063,2016-05-27,,,
9064,2016-05-28,,,
9065,2016-05-29,,,
9066,2016-05-31,,,
9067,2016-06-01,,,
9068,2016-06-02,,,
9069,2016-06-03,,,
9070,2016-06-04,,,
9071,2016-06-05,,,
9072,2016-06-06,,,
9073,2016-06-07,2016-06-08,,
9074,2016-06-08,,,
9075,2016-06-09,,,
9076,2016-06-10,,,
9077,2016-06-11,,,
9078,2016-06-12,,,
9079,2016-06-13,,,
9080,2016-06-14,,,
9081,2016-06-15,,,
9082,2016-01-03,,,
9083,2016-01-04,,,
9084,2016-01-06,2016-01-30,2016-01-30,2016-01-30
9085,2016-01-07,,,
9086,2016-01-08,,,
9087,2016-01-09,2016-01-31,2016-02-27,2016-03-19
9088,2016-01-10,2016-01-31,2016-02-21,2016-02-21
9089,2016-01-12,2016-01-20,2016-01-26,2016-01-26
9090,2016-01-15,2016-02-18,2016-03-06,2016-03-23
9091,2016-01-16,,,
9092,2016-01-17,2016-02-29,2016-03-24,2016-04-07
9093,2016-01-21,,,
9094,2016-01-23,2016-02-29,2016-04-07,2016-04-07
9095,2016-01-24,,,
9096,2016-01-26,,,
9097,2016-01-27,,,
9098,2016-01-28,2016-02-05,2016-02-23,2016-03-17
9099,2016-01-29,,,
9100,2016-01-30,,,
9101,2016-01-31,2016-02-22,2016-02-22,2016-02-22
9102,2016-02-01,,,
9103,2016-02-03,2016-03-02,2016-04-03,2016-04-03
9104,2016-02-05,2016-04-06,2016-04-21,2016-05-02
9105,2016-02-06,2016-03-30,2016-03-30,2016-03-30
9106,2016-02-07,2016-03-29,2016-05-10,2016-05-10
9107,2016-02-08,,,
9108,2016-02-09,2016-03-30,2016-03-30,2016-03-30
9109,2016-02-10,2016-03-07,2016-03-19,2016-04-01
9110,2016-02-11,2016-03-30,2016-03-30,2016-03-30
9111,2016-02-12,2016-03-30,2016-03-30,2016-03-30
9112,2016-02-13,2016-03-18,2016-04-27,2016-05-14
9113,2016-02-14,2016-03-18,2016-04-19,2016-04-29
9114,2016-02-15,2016-04-04,2016-04-26,2016-04-26
9115,2016-02-16,2016-02-28,2016-03-29,2016-03-29
9116,2016-02-17,2016-03-08,2016-03-27,2016-04-08
9117,2016-02-19,2016-02-26,2016-04-01,2016-04-01
9118,2016-02-21,,,
9119,2016-02-22,2016-03-29,2016-04-26,2016-05-03
9120,2016-02-23,2016-03-26,2016-05-01,2016-05-01
9121,2016-02-24,,,
9122,2016-02-25,2016-02-28,2016-03-29,2016-03-29
9123,2016-02-26,2016-03-12,2016-04-10,2016-04-10
9124,2016-02-28,2016-03-30,2016-05-10,2016-05-10
9125,2016-02-29,2016-03-20,2016-04-24,2016-04-27
9126,2016-03-01,,,
9127,2016-03-02,2016-04-21,2016-04-21,2016-04-21
9128,2016-03-03,,,
9129,2016-03-04,2016-03-29,2016-04-26,2016-05-17
9130,2016-03-05,2016-04-17,2016-05-09,2016-05-09
9131,2016-03-07,2016-04-19,2016-05-23,2016-05-23
9132,2016-03-08,2016-04-17,2016-05-10,2016-05-18
9133,2016-03-09,2016-04-05,2016-05-05,2016-05-05
9134,2016-03-10,2016-04-18,2016-05-31,2016-06-14
9135,2016-03-11,2016-04-26,2016-06-09,2016-06-09
9136,2016-03-12,,,
9137,2016-03-13,2016-03-31,2016-04-22,2016-04-22
9138,2016-03-14,2016-04-12,2016-05-03,2016-05-24
9139,2016-03-15,,,
9140,2016-03-16,,,
9141,2016-03-17,2016-05-16,2016-06-08,2016-06-08
9142,2016-03-18,2016-04-17,2016-05-09,2016-05-19
9143,2016-03-20,,,
9144,2016-03-22,,,
9145,2016-03-23,2016-04-16,2016-05-18,2016-06-05
9146,2016-03-24,2016-05-01,2016-05-26,
9147,2016-03-25,2016-04-12,2016-04-27,2016-04-27
9148,2016-03-26,2016-04-12,2016-05-09,2016-05-09
9149,2016-03-28,2016-04-20,2016-05-15,2016-05-20
9150,2016-03-29,2016-05-04,2016-05-05,2016-05-05
9151,2016-03-30,2016-04-25,2016-06-05,2016-06-05
9152,2016-03-31,2016-05-02,2016-05-29,2016-05-29
9153,2016-04-01,2016-05-23,2016-06-09,2016-06-09
9154,2016-04-02,,,
9155,2016-04-03,,,
9156,2016-04-04,2016-06-05,2016-06-05,2016-06-05
9157,2016-04-05,2016-05-05,2016-06-03,2016-06-03
9158,2016-04-06,2016-06-01,2016-06-01,2016-06-01
9159,2016-04-07,2016-04-26,2016-05-22,2016-05-27
9160,2016-04-08,2016-04-28,2016-06-04,2016-06-04
9161,2016-04-10,2016-05-10,2016-05-21,2016-05-21
9162,2016-04-11,2016-05-04,2016-05-20,2016-05-20
9163,2016-04-12,,,
9164,2016-04-13,2016-05-13,,
9165,2016-04-14,2016-05-16,,
9166,2016-04-15,2016-05-09,2016-06-03,2016-06-14
9167,2016-04-16,2016-04-25,2016-05-29,2016-05-29
9168,2016-04-17,2016-05-14,2016-06-07,2016-06-07
9169,2016-04-18,2016-05-25,,
9170,2016-04-19,,,
9171,2016-04-20,2016-06-09,,
9172,2016-04-21,2016-05-31,2016-05-31,2016-05-31
9173,2016-04-23,2016-06-05,,
9174,2016-04-24,2016-06-08,,
9175,2016-04-26,2016-06-11,,
9176,2016-04-29,2016-05-17,,
9177,2016-04-30,,,
9178,2016-05-02,,,
9179,2016-05-03,,,
9180,2016-05-05,2016-05-28,2016-05-28,2016-05-28
9181,2016-05-06,2016-06-09,2016-06-09,2016-06-09
9182,2016-05-07,2016-05-29,,
9183,2016-05-08,2016-06-05,,
9184,2016-05-09,2016-05-31,,
9185,2016-05-10,,,
9186,2016-05-11,,,
9187,2016-05-12,2016-06-07,2016-06-07,2016-06-07
9188,2016-05-13,2016-06-15,,
9189,2016-05-14,,,
9190,2016-05-16,,,
9191,2016-05-17,2016-06-10,,
9192,2016-05-18,,,
9193,2016-05-19,,,
9194,2016-05-20,,,
9195,2016-05-22,,,
9196,2016-05-23,,,
9197,2016-05-24,,,
9198,2016-05-25,2016-05-26,,
9199,2016-05-26,,,
9200,2016-05-27,,,
9201,2016-05-28,,,
9202,2016-05-29,,,
9203,2016-05-31,,,
9204,2016-06-01,,,
9205,2016-06-02,,,
9206,2016-06-03,,,
9207,2016-06-06,,,
9208,2016-06-07,,,
9209,2016-06-08,,,
9210,2016-06-09,,,
9211,2016-06-11,,,
9212,2016-06-12,,,
9213,2016-06-13,,,
9214,2016-06-14,,,
9215,2016-06-15,,,
9216,2016-01-03,,,
9217,2016-01-04,,,
9218,2016-01-07,2016-01-25,2016-01-25,2016-01-25
9219,2016-01-08,2016-01-28,2016-02-09,2016-02-20
9220,2016-01-09,2016-02-07,2016-03-02,2016-03-02
9221,2016-01-10,,,
9222,2016-01-12,,,
9223,2016-01-15,,,
9224,2016-01-16,2016-02-20,2016-03-19,2016-03-19
9225,2016-01-17,2016-03-03,2016-03-21,2016-03-21
9226,2016-01-18,2016-03-03,2016-04-08,2016-04-08
9227,2016-01-19,2016-02-10,2016-03-13,2016-03-28
9228,2016-01-20,,,
9229,2016-01-21,,,
9230,2016-01-22,2016-02-01,2016-02-01,2016-02-01
9231,2016-01-23,2016-03-14,2016-04-20,2016-05-05
9232,2016-01-25,2016-03-17,2016-04-20,2016-05-05
9233,2016-01-26,,,
9234,2016-01-28,2016-03-30,2016-04-18,2016-04-18
9235,2016-01-29,2016-03-25,2016-04-25,2016-04-25
9236,2016-01-30,2016-03-21,2016-03-21,2016-03-21
9237,2016-01-31,2016-03-05,2016-03-05,2016-03-05
9238,2016-02-01,,,
9239,2016-02-02,,,
9240,2016-02-03,,,
9241,2016-02-04,2016-03-29,2016-05-02,2016-05-02
9242,2016-02-05,2016-03-15,2016-04-06,2016-04-06
9243,2016-02-06,,,
9244,2016-02-07,2016-03-31,2016-05-07,2016-05-07
9245,2016-02-08,,,
9246,2016-02-09,2016-02-19,2016-03-11,2016-04-08
9247,2016-02-10,,,
9248,2016-02-12,,,
9249,2016-02-14,,,
9250,2016-02-15,,,
9251,2016-02-16,,,
9252,2016-02-17,2016-03-31,2016-05-10,2016-05-10
9253,2016-02-18,,,
9254,2016-02-19,2016-02-20,2016-03-31,2016-03-31
9255,2016-02-20,2016-03-19,2016-03-19,2016-03-19
9256,2016-02-22,2016-04-02,2016-05-08,2016-05-08
9257,2016-02-23,2016-03-19,2016-03-19,2016-03-19
9258,2016-02-25,,,
9259,2016-02-26,2016-03-19,2016-04-20,2016-05-13
9260,2016-02-27,2016-03-13,2016-03-23,2016-04-08
9261,2016-02-28,2016-02-29,2016-03-28,2016-03-28
9262,2016-03-02,2016-03-31,2016-04-12,2016-04-16
9263,2016-03-03,2016-03-09,2016-04-01,2016-04-01
9264,2016-03-04,2016-03-27,2016-04-16,2016-04-16
9265,2016-03-05,2016-04-02,2016-04-29,2016-04-29
9266,2016-03-07,,,
9267,2016-03-08,2016-03-11,2016-04-15,2016-04-15
9268,2016-03-09,,,
9269,2016-03-10,,,
9270,2016-03-12,2016-03-20,2016-04-22,2016-05-09
9271,2016-03-13,,,
9272,2016-03-14,,,
9273,2016-03-15,,,
9274,2016-03-17,2016-04-20,2016-04-20,2016-04-20
9275,2016-03-18,2016-04-21,2016-05-31,2016-05-31
9276,2016-03-19,,,
9277,2016-03-20,2016-04-25,2016-05-09,2016-05-09
9278,2016-03-21,,,
9279,2016-03-22,2016-05-27,,
9280,2016-03-23,2016-04-19,2016-05-28,2016-06-08
9281,2016-03-24,2016-05-11,2016-06-06,2016-06-06
9282,2016-03-25,2016-05-13,,
9283,2016-03-26,,,
9284,2016-03-27,2016-05-09,2016-06-10,2016-06-10
9285,2016-03-28,2016-05-23,2016-06-04,2016-06-04
9286,2016-03-29,2016-05-07,2016-05-07,2016-05-07
9287,2016-03-31,,,
9288,2016-04-01,2016-04-10,2016-05-20,2016-05-20
9289,2016-04-04,2016-04-14,2016-05-16,2016-05-16
9290,2016-04-05,2016-05-02,2016-05-24,
9291,2016-04-06,2016-05-05,2016-06-13,
9292,2016-04-08,2016-05-16,,
9293,2016-04-09,2016-05-03,2016-05-03,2016-05-03
9294,2016-04-10,,,
9295,2016-04-11,2016-04-25,2016-05-13,2016-05-13
9296,2016-04-12,2016-05-19,2016-06-09,2016-06-09
9297,2016-04-13,,,
9298,2016-04-14,2016-05-15,2016-06-09,
9299,2016-04-15,2016-05-04,2016-06-03,2016-06-03
9300,2016-04-16,2016-06-05,,
9301,2016-04-19,2016-06-03,,
9302,2016-04-22,2016-05-18,2016-06-08,2016-06-08
9303,2016-04-23,2016-04-24,2016-05-24,2016-06-11
9304,2016-04-24,,,
9305,2016-04-25,,,
9306,2016-04-26,,,
9307,2016-04-27,,,
9308,2016-04-28,2016-05-27,,
9309,2016-04-29,2016-05-26,2016-06-15,2016-06-15
9310,2016-04-30,2016-05-20,2016-06-13,2016-06-13
9311,2016-05-02,,,
9312,2016-05-03,2016-05-04,2016-05-30,
9313,2016-05-04,,,
9314,2016-05-05,,,
9315,2016-05-06,,,
9316,2016-05-07,2016-06-07,,
9317,2016-05-08,,,
9318,2016-05-09,2016-06-07,,
9319,2016-05-10,2016-06-12,,
9320,2016-05-13,2016-05-22,2016-05-22,2016-05-22
9321,2016-05-14,,,
9322,2016-05-15,,,
9323,2016-05-16,,,
9324,2016-05-17,2016-05-28,2016-06-09,
9325,2016-05-19,2016-05-27,,
9326,2016-05-20,,,
9327,2016-05-21,,,
9328,2016-05-22,,,
9329,2016-05-23,,,
9330,2016-05-25,,,
9331,2016-05-26,,,
9332,2016-05-28,,,
9333,2016-05-30,,,
9334,2016-05-31,,,
9335,2016-06-01,,,
9336,2016-06-02,,,
9337,2016-06-03,,,
9338,2016-06-04,,,
9339,2016-06-05,,,
9340,2016-06-06,,,
9341,2016-06-07,,,
9342,2016-06-09,,,
9343,2016-06-10,,,
9344,2016-06-11,,,
9345,2016-06-12,,,
9346,2016-06-13,,,
9347,2016-06-14,,,
9348,2016-01-03,2016-02-04,2016-02-18,2016-02-18
9349,2016-01-04,,,
9350,2016-01-05,2016-01-17,2016-01-17,2016-01-17
9351,2016-01-06,,,
9352,2016-01-07,2016-02-22,2016-03-02,2016-03-17
9353,2016-01-08,2016-01-17,2016-01-18,2016-01-23
9354,2016-01-09,2016-02-25,2016-03-10,2016-03-26
9355,2016-01-10,2016-02-13,2016-02-14,2016-02-14
9356,2016-01-11,,,
9357,2016-01-12,2016-02-25,2016-03-13,2016-03-13
9358,2016-01-13,2016-01-22,2016-02-08,2016-02-08
9359,2016-01-16,2016-02-19,2016-04-02,2016-04-02
9360,2016-01-18,2016-03-01,2016-03-23,2016-03-23
9361,2016-01-19,,,
9362,2016-01-22,2016-03-18,2016-04-27,2016-05-10
9363,2016-01-23,2016-03-03,2016-03-03,2016-03-03
9364,2016-01-24,2016-03-20,2016-03-20,2016-03-20
9365,2016-01-25,2016-03-03,2016-03-20,2016-04-14
9366,2016-01-26,,,
9367,2016-01-27,,,
9368,2016-01-28,2016-03-08,2016-04-03,2016-04-03
9369,2016-01-29,2016-03-12,2016-03-12,2016-03-12
9370,2016-01-30,2016-02-09,2016-02-13,2016-02-13
9371,2016-01-31,2016-03-27,2016-04-21,2016-04-21
9372,2016-02-01,2016-04-08,2016-04-15,2016-04-25
9373,2016-02-04,,,
9374,2016-02-05,2016-03-05,2016-03-21,2016-04-15
9375,2016-02-06,2016-04-13,2016-04-18,2016-04-18
9376,2016-02-07,,,
9377,2016-02-08,,,
9378,2016-02-09,2016-03-25,2016-04-28,2016-04-28
9379,2016-02-10,2016-03-10,2016-03-10,2016-03-10
9380,2016-02-11,2016-03-10,2016-03-19,2016-03-19
9381,2016-02-13,2016-03-05,2016-03-22,2016-04-06
9382,2016-02-14,2016-04-12,2016-05-16,2016-05-22
9383,2016-02-15,2016-04-07,2016-04-30,2016-04-30
9384,2016-02-16,2016-02-24,2016-03-24,2016-04-09
9385,2016-02-17,,,
9386,2016-02-18,2016-03-18,2016-04-03,2016-04-03
9387,2016-02-19,2016-03-29,2016-04-27,2016-04-27
9388,2016-02-20,2016-03-05,2016-04-11,2016-04-24
9389,2016-02-21,2016-03-17,2016-03-17,2016-03-17
9390,2016-02-22,2016-04-11,2016-05-02,2016-05-02
9391,2016-02-23,,,
9392,2016-02-25,,,
9393,2016-02-26,2016-03-26,2016-04-24,2016-05-05
9394,2016-02-27,2016-04-19,2016-05-07,2016-05-07
9395,2016-02-28,2016-04-15,2016-05-17,
9396,2016-02-29,2016-04-08,2016-05-08,2016-05-25
9397,2016-03-01,2016-04-24,2016-05-13,2016-06-06
9398,2016-03-02,2016-04-02,2016-05-08,2016-05-08
9399,2016-03-03,2016-03-26,2016-05-13,2016-05-13
9400,2016-03-04,2016-04-15,2016-05-21,2016-05-21
9401,2016-03-05,2016-04-16,2016-04-16,2016-04-16
9402,2016-03-07,,,
9403,2016-03-08,,,
9404,2016-03-09,2016-04-21,2016-06-03,2016-06-12
9405,2016-03-10,2016-03-25,2016-05-10,2016-05-30
9406,2016-03-11,2016-04-29,2016-04-29,2016-04-29
9407,2016-03-12,,,
9408,2016-03-15,,,
9409,2016-03-16,,,
9410,2016-03-18,,,
9411,2016-03-19,,,
9412,2016-03-20,,,
9413,2016-03-21,2016-04-28,2016-06-01,2016-06-01
9414,2016-03-22,2016-04-30,,
9415,2016-03-24,2016-04-19,2016-05-04,2016-05-04
9416,2016-03-25,2016-04-17,2016-05-16,2016-05-16
9417,2016-03-27,2016-05-02,2016-06-08,2016-06-08
9418,2016-03-28,2016-05-09,2016-06-01,2016-06-14
9419,2016-03-29,2016-04-11,2016-05-04,2016-05-04
9420,2016-03-30,,,
9421,2016-03-31,,,
9422,2016-04-01,2016-04-28,2016-05-27,2016-05-27
9423,2016-04-03,2016-05-08,2016-05-31,2016-05-31
9424,2016-04-04,,,
9425,2016-04-06,2016-05-14,,
9426,2016-04-07,2016-05-18,2016-06-08,2016-06-08
9427,2016-04-08,2016-05-05,2016-05-31,2016-05-31
9428,2016-04-09,2016-05-25,,
9429,2016-04-10,,,
9430,2016-04-11,,,
9431,2016-04-13,,,
9432,2016-04-14,,,
9433,2016-04-15,2016-05-20,,
9434,2016-04-16,2016-05-11,2016-05-29,2016-06-14
9435,2016-04-17,2016-05-14,2016-06-13,
9436,2016-04-18,,,
